№,сталь,Ry,сечение,h,b,S,t,R,A_см2,вес_кг,Ix_см4,Wx_см3,Sx_см3,ix_см,Iy_см4,Wy_см3,iy_см
198,С345,340,пр.100х60х4,100,100,,,,12.2,9.6,157.6,31.5,,3.59,70.8,23.6,2.41
199,С345,340,пр.100х60х5,100,100,,,,15,11.8,187.8,37.6,,3.54,83.8,27.9,2.36
200,С345,340,пр.100х60х6,100,100,,,,17.8,14,216.3,43.3,,3.48,96.2,32.1,2.32
201,С345,340,пр.120х80х3,120,120,,,,11.6,9.1,233.4,38.9,,4.48,124.8,31.2,3.27
202,С345,340,пр.120х80х4,120,120,,,,15.3,12,299,49.8,,4.42,159.7,39.9,3.23
203,С345,340,пр.120х80х5,120,120,,,,18.9,14.8,361.4,60.2,,4.37,192.4,48.1,3.19
204,С345,340,пр.120х80х6,120,120,,,,22.6,17.7,423.2,70.5,,4.33,224.1,56,3.15
205,С345,340,пр.120х80х7,120,120,,,,26.3,20.6,483.2,80.4,,4.28,254.6,63.8,3.1
206,С345,340,пр.140х60х4,140,140,,,,15.3,12,362.1,51.7,,4.86,95.4,31.8,2.5
207,С345,340,пр.140х60х5,140,140,,,,18.9,14.8,436.1,62.3,,4.8,113.6,37.9,2.45
208,С345,340,пр.140х60х6,140,140,,,,22.6,17.7,509.7,72.8,,4.75,131.3,43.8,2.41
209,С345,340,пр.140х100х3,140,140,,,,14.2,11.1,404.2,57.7,,5.31,241.2,48.2,4.1
210,С345,340,пр.140х100х4,140,140,,,,18.5,14.5,511.3,73,,5.26,304.3,60.9,4.05
211,С345,340,пр.140х100х5,140,140,,,,22.9,18,619.7,88.5,,5.2,368,73.6,4.01
212,С345,340,пр.140х100х6,140,140,,,,27.4,21.5,729.2,104.2,,5.16,432.4,86.5,3.97
213,С345,340,пр.140х100х7,140,140,,,,32,25.1,839.8,120,,5.11,497.5,99.5,3.92
214,С345,340,пр.160х80х3,160,160,,,,13.9,10.9,455,56.9,,5.7,155.2,38.8,3.34
215,С345,340,пр.160х80х4,160,160,,,,18.5,14.5,606.7,75.8,,5.73,206.9,51.7,3.34
216,С345,340,пр.160х80х5,160,160,,,,22.9,18,735.9,92,,5.67,248.7,62.2,3.29
217,С345,340,пр.160х80х6,160,160,,,,27.4,21.5,864.7,108.1,,5.62,280.7,72.7,3.26
218,С345,340,пр.160х120х4,160,160,,,,21.6,17,799.2,99.9,,6.08,514,85.7,4.88
219,С345,340,пр.160х120х5,160,160,,,,26.9,21.1,978.2,122.3,,6.03,628.4,104.7,4.83
220,С345,340,пр.160х120х6,160,160,,,,32.1,25.2,1150.5,143.8,,5.99,736.9,122.8,4.79
221,С345,340,пр.160х120х7,160,160,,,,37.2,29.2,1307.4,163.4,,5.93,836.6,139.4,4.74
222,С345,340,пр.160х120х8,160,160,,,,42.3,33.2,1461,182.6,,5.88,932.5,155.4,4.69
223,С345,340,пр.180х60х5,180,180,,,,22.9,18,833.8,92.6,,6.03,144.7,48.2,2.51
224,С345,340,пр.180х60х6,180,180,,,,27.4,21.5,978.5,108.7,,5.97,166.5,55.5,2.46
225,С345,340,пр.180х100х5,180,180,,,,26.9,21.1,1143,127,,6.52,459.6,91.9,4.13
226,С345,340,пр.180х100х6,180,180,,,,32.1,25.2,1344.4,149.4,,6.47,537.8,107.6,4.09
227,С345,340,пр.180х100х7,180,180,,,,37.2,29.2,1527.9,169.8,,6.41,607.9,121.6,4.04
228,С345,340,пр.180х100х8,180,180,,,,42.3,33.2,1706.1,189.6,,6.35,676,135.2,4
229,С345,340,пр.180х140х4,180,180,,,,24.6,19.3,1165,128.2,,6.91,782.4,111.8,5.7
230,С345,340,пр.180х140х5,180,180,,,,30.7,24.1,1443,160.3,,6.85,981.2,140.2,5.65
231,С345,340,пр.180х140х6,180,180,,,,36.8,28.9,1706.8,189.6,,6.81,1158.9,165.6,5.61
