пролет,блок_col,k,с/в,с/в_0,"Высота, м","шаг рам,м",колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг","общая металлоемкость  рамы, кг","металло-емкость распорк, кг","металлоемкость гориз. связей, распорк, кг"
15м,KB,0.8,4/3,4/3,3.6,6,"ПГС245/20х80х2,5",79,ПГС300/20х80х3,86,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,11х2,300,556,268,,,
15м,KB,0.8,5/1,5/1,3.6,5,ПГС300/20х80х2,89,ПГС300/20х80х3,82,"2ТПС 200х45х2 (шаг 1,25м)",83,9х2,10х2,9х2,12х2,332,543,280,,,
15м,KB,0.8,5/3,5/3,3.6,5,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,10х2,8х2,11х2,300,556,254,,,
15м,KB,0.8,2/2,2/2,3.6,6,ПГС245/20х80х2,75,ПГС300/20х80х2,84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,6х2,7х2,300,556,268,,,
15м,LL,1.0,1/3,1/3,4.8,6,"ПГС245/20х80х2,5",78,ПГС300/20х80х2,84,"2ТПС 195х45х1,5 (шаг 1,5м)",79,7х2,8х2,8х2,7х2,236,485,219,,,
15м,LL,1.0,2/3,2/3,4.8,6,"ПГС245/20х80х2,5",86,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,25м)",82,8х2,9х2,8х2,8х2,268,544,237,,,
15м,LL,1.0,2/4,2/4,4.8,6,"ПГС300/20х80х2,5",88,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,25м)",92,8х2,9х2,9х2,9х2,276,564,245,,,
15м,LL,1.0,3/1,3/1,4.8,6,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,284,605,264,,,
15м,LL,1.0,3/2,3/2,4.8,6,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,90,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,276,605,264,,,
15м,LL,1.0,4/1,4/1,4.8,4,ПГС300/20х80х2,79,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,9х2,7х2,10х2,276,589,238,,,
15м,LL,1.0,4/3,4/3,4.8,4,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,9х2,8х2,10х2,276,657,249,,,
15м,LL,1.0,5/1,5/1,4.8,4,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,25м)",90,10х2,10х2,7х2,10х2,276,605,264,,,
15м,LL,1.0,5/3,5/3,4.8,4,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,25м)",91,9х2,10х2,8х2,11х2,308,625,268,,,
15м,LL,1.0,2/2,2/2,4.8,6,"ПГС245/20х80х2,5",75,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,7х2,8х2,300,556,268,,,
15м,MV,0.8,1/3,1/3,4.8,6,ПГС300/20х80х2,81,ПГС245/20х80х2,71,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,6х2,6х2,212,444,184,,,
15м,MV,0.8,2/3,2/3,4.8,6,"ПГС245/20х80х2,5",83,"ПГС245/20х80х2,5",83,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,8х2,7х2,8х2,228,512,229,,,
15м,MV,0.8,2/4,2/4,4.8,6,"ПГС245/20х80х2,5",87,"ПГС245/20х80х2,5",87,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,9х2,8х2,8х2,236,512,235,,,
15м,MV,0.8,3/1,3/1,4.8,6,ПГС245/20х80х2,82,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,8х2,10х2,276,513,254,,,
15м,MV,0.8,3/2,3/2,4.8,6,ПГС300/20х80х2,87,"ПГС300/20х80х2,5",83,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,10х2,8х2,10х2,300,528,264,,,
15м,MV,0.8,4/1,4/1,4.8,6,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,88,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,6х2,10х2,276,605,248,,,
15м,MV,0.8,4/3,4/3,4.8,6,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,300,625,264,,,
15м,MV,0.8,5/1,5/1,4.8,5,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,25м)",83,10х2,10х2,7х2,10х2,300,605,264,,,
15м,MV,0.8,5/3,5/3,4.8,5,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,10х2,8х2,10х2,316,625,264,,,
15м,MV,0.8,2/2,2/2,4.8,6,"ПГС245/20х80х2,5",72,"ПГС245/20х80х2,5",79,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,8х2,7х2,8х2,300,556,268,,,
15м,OF,1.0,1/3,1/3,6,6,"ПГС300/20х80х2,5",89,"ПГС300/20х80х2,5",65,"2ТПС 195х45х1,5 (шаг 1,5м)",79,6х2,8х2,9х2,7х2,244,621,216,,,
15м,OF,1.0,2/3,2/3,6,6,ПГС300/20х80х3,73,"ПГС300/20х80х2,5",89,"2ТПС 200х65х1,5 (шаг 1,25м)",82,8х2,10х2,9х2,10х2,276,667,265,,,
15м,OF,1.0,2/4,2/4,6,5,ПГС300/20х80х3,86,"ПГС300/20х80х2,5",78,"2ТПС 200х45х1,5 (шаг 1,5м)",85,7х2,9х2,8х2,7х2,260,667,229,,,
15м,OF,1.0,3/1,3/1,6,6,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,9х2,10х2,308,728,270,,,
15м,OF,1.0,3/2,3/2,6,5,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,25м)",91,8х2,8х2,8х2,9х2,300,657,225,,,
15м,OF,1.0,4/1,4/1,6,4,ПГС300/20х80х2,87,"ПГС300/20х80х2,5",88,"2ТПС 200х45х1,5 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,300,572,264,,,
15м,OF,1.0,4/3,4/3,6,4,"ПГС245/20х80х2,5",89,ПГС300/20х80х3,84,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,9х2,9х2,10х2,284,657,260,,,
15м,OF,1.0,5/1,5/1,6,4,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,25м)",90,9х2,10х2,8х2,10х2,300,682,264,,,
15м,OF,1.0,5/3,5/3,6,4,ПГС300/20х80х3,75,ПГС300/20х80х3,91,"2ТПС 200х45х1,5 (шаг 1,25м)",91,9х2,11х2,8х2,10х2,300,728,268,,,
15м,OF,1.0,2/2,2/2,6,6,"ПГС300/20х80х2,5",85,"ПГС300/20х80х2,5",84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,10х2,9х2,9х2,300,556,268,,,
15м,PP,0.8,1/3,1/3,6,6,"ПГС300/20х80х2,5",74,ПГС300/20х80х2,70,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,8х2,6х2,212,562,200,,,
15м,PP,0.8,2/3,2/3,6,6,"ПГС300/20х80х2,5",79,"ПГС300/20х80х2,5",71,"2ТПС 200х45х2 (шаг 1,875м)",86,7х2,8х2,8х2,8х2,244,621,229,,,
15м,PP,0.8,2/4,2/4,6,6,ПГС300/20х80х3,83,"ПГС300/20х80х2,5",74,"2ТПС 200х45х2 (шаг 1,875м)",86,7х2,9х2,8х2,7х2,252,667,205,,,
15м,PP,0.8,3/1,3/1,6,6,"ПГС245/20х80х2,5",74,"ПГС300/20х80х2,5",88,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,7х2,9х2,284,553,238,,,
15м,PP,0.8,3/2,3/2,6,6,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,78,"2ТПС 200х65х1,5 (шаг 1,25м)",89,8х2,9х2,8х2,9х2,276,596,239,,,
15м,PP,0.8,4/1,4/1,6,6,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,78,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,8х2,10х2,292,682,264,,,
15м,PP,0.8,4/3,4/3,6,5,"ПГС300/20х80х2,5",77,ПГС300/20х80х3,78,"2ТПС 200х45х2 (шаг 1,5м)",80,8х2,9х2,8х2,9х2,300,728,239,,,
15м,PP,0.8,5/1,5/1,6,5,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,25м)",83,9х2,10х2,8х2,10х2,300,682,264,,,
15м,PP,0.8,5/3,5/3,6,5,ПГС300/20х80х3,73,ПГС300/20х80х3,91,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,11х2,8х2,10х2,292,728,268,,,
15м,PP,0.8,2/2,2/2,6,6,"ПГС245/20х80х2,5",84,"ПГС245/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,8х2,8х2,300,556,268,,,
18м,B,1.0,1/3,1/3,3.6,6,"ПГС245/20х80х2,5",83,"ПГС245/20х80х2,5",85,"2ТПС 200х45х1,5 (шаг 1,8м)",89,8х2,8х2,8х2,7х2,236,544,215,,,
18м,B,1.0,2/3,2/3,3.6,6,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,9х2,8х2,10х2,292,656,252,,,
18м,B,1.0,2/4,2/4,3.6,6,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,9х2,9х2,10х2,308,670,260,,,
18м,B,1.0,3/1,3/1,3.6,5,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",86,10х2,11х2,8х2,11х2,332,670,280,,,
18м,B,1.0,3/2,3/2,3.6,5,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,125м)",86,10х2,11х2,8х2,11х2,332,670,280,,,
18м,B,1.0,4/1,4/1,3.6,4,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,8м)",89,10х2,11х2,8х2,11х2,332,670,280,,,
18м,B,1.0,4/3,4/3,3.6,3.5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,7х2,10х2,300,656,254,,,
18м,B,1.0,5/1,5/1,3.6,3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,84,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,7х2,10х2,300,656,264,,,
18м,B,1.0,5/3,5/3,3.6,3,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,670,270,,,
18м,B,1.0,2/2,2/2,3.6,6,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,10х2,300,556,268,,,
18м,AL,0.8,1/3,1/3,3.6,6,ПГС300/20х80х2,78,ПГС245/20х80х2,83,"2ТПС 200х45х1,5 (шаг 2,25м)",89,8х2,8х2,8х2,7х2,252,469,225,,,
18м,AL,0.8,2/3,2/3,3.6,6,ПГС300/20х80х2,85,"ПГС300/20х80х2,5",80,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,8х2,10х2,300,570,254,,,
18м,AL,0.8,2/4,2/4,3.6,6,"ПГС245/20х80х2,5",72,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,7х2,8х2,276,583,234,,,
18м,AL,0.8,3/1,3/1,3.6,6,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,84,"2ТПС 200х65х2 (шаг 1,8м)",80,10х2,10х2,8х2,10х2,316,670,270,,,
18м,AL,0.8,3/2,3/2,3.6,6,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,86,"2ТПС 200х65х2 (шаг 1,8м)",80,10х2,10х2,8х2,10х2,316,670,270,,,
18м,AL,0.8,4/1,4/1,3.6,5,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,88,"2ТПС 200х65х2 (шаг 1,8м)",85,10х2,11х2,8х2,11х2,332,670,280,,,
18м,AL,0.8,4/3,4/3,3.6,4.5,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,8х2,10х2,308,656,264,,,
