пролет,k,"Высота, м",вариант,"шаг рам,м",с/в,колонна,коэф исп.%,балка,коэф исп.%_6,прогоны,коэф исп.%_8,балки конек,балки карниз,кололнна опора,колонна карниз,Болты в раме,"металлоемкость оциноковка, кг","металлоемкость узловых пластин, кг"
15м,0.8,3.6,стандарт,6,3/2,ПГС245/20х80х2,81,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,8х2,10х2,292,471,244
15м,0.8,3.6,стандарт,6,4/1,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,85,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,7х2,9х2,292,556,248
15м,0.8,3.6,стандарт,6,4/3,"ПГС245/20х80х2,5",79,ПГС300/20х80х3,86,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,11х2,300,556,268
15м,0.8,3.6,стандарт,5,5/1,ПГС300/20х80х2,89,ПГС300/20х80х3,82,"2ТПС 200х45х2 (шаг 1,25м)",83,9х2,10х2,9х2,12х2,332,543,280
15м,0.8,3.6,стандарт,5,5/3,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,10х2,8х2,11х2,300,556,254
15м,0.8,3.6,стандарт,6,2/2,ПГС245/20х80х2,75,ПГС300/20х80х2,84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,6х2,7х2,300,556,268
15м,1.0,4.8,стандарт,6,1/3,"ПГС245/20х80х2,5",78,ПГС300/20х80х2,84,"2ТПС 195х45х1,5 (шаг 1,5м)",79,7х2,8х2,8х2,7х2,236,485,219
15м,1.0,4.8,стандарт,6,2/3,"ПГС245/20х80х2,5",86,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,25м)",82,8х2,9х2,8х2,8х2,268,544,237
15м,1.0,4.8,стандарт,6,2/4,"ПГС300/20х80х2,5",88,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,25м)",92,8х2,9х2,9х2,9х2,276,564,245
15м,1.0,4.8,стандарт,6,3/1,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,284,605,264
15м,1.0,4.8,стандарт,6,3/2,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,90,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,276,605,264
15м,1.0,4.8,стандарт,4,4/1,ПГС300/20х80х2,79,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,9х2,7х2,10х2,276,589,238
15м,1.0,4.8,стандарт,4,4/3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,9х2,8х2,10х2,276,657,249
15м,1.0,4.8,стандарт,4,5/1,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,25м)",90,10х2,10х2,7х2,10х2,276,605,264
15м,1.0,4.8,стандарт,4,5/3,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,25м)",91,9х2,10х2,8х2,11х2,308,625,268
15м,1.0,4.8,стандарт,6,2/2,"ПГС245/20х80х2,5",75,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,7х2,8х2,300,556,268
15м,0.8,4.8,стандарт,6,1/3,ПГС300/20х80х2,81,ПГС245/20х80х2,71,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,6х2,6х2,212,444,184
15м,0.8,4.8,стандарт,6,2/3,"ПГС245/20х80х2,5",83,"ПГС245/20х80х2,5",83,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,8х2,7х2,8х2,228,512,229
15м,0.8,4.8,стандарт,6,2/4,"ПГС245/20х80х2,5",87,"ПГС245/20х80х2,5",87,"2ТПС 200х45х2 (шаг 1,875м)",86,8х2,9х2,8х2,8х2,236,512,235
15м,0.8,4.8,стандарт,6,3/1,ПГС245/20х80х2,82,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,8х2,10х2,276,513,254
15м,0.8,4.8,стандарт,6,3/2,ПГС300/20х80х2,87,"ПГС300/20х80х2,5",83,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,10х2,8х2,10х2,300,528,264
15м,0.8,4.8,стандарт,6,4/1,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,88,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,6х2,10х2,276,605,248
15м,0.8,4.8,стандарт,6,4/3,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,300,625,264
15м,0.8,4.8,стандарт,5,5/1,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,25м)",83,10х2,10х2,7х2,10х2,300,605,264
15м,0.8,4.8,стандарт,5,5/3,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,10х2,8х2,10х2,316,625,264
15м,0.8,4.8,стандарт,6,2/2,"ПГС245/20х80х2,5",72,"ПГС245/20х80х2,5",79,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,8х2,7х2,8х2,300,556,268
15м,1.0,6,стандарт,6,1/3,"ПГС300/20х80х2,5",89,"ПГС300/20х80х2,5",65,"2ТПС 195х45х1,5 (шаг 1,5м)",79,6х2,8х2,9х2,7х2,244,621,216
15м,1.0,6,стандарт,6,2/3,ПГС300/20х80х3,73,"ПГС300/20х80х2,5",89,"2ТПС 200х65х1,5 (шаг 1,25м)",82,8х2,10х2,9х2,10х2,276,667,265
15м,1.0,6,стандарт,5,2/4,ПГС300/20х80х3,86,"ПГС300/20х80х2,5",78,"2ТПС 200х45х1,5 (шаг 1,5м)",85,7х2,9х2,8х2,7х2,260,667,229
15м,1.0,6,стандарт,6,3/1,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,89,"2ТПС 200х65х2 (шаг 1,5м)",91,9х2,10х2,9х2,10х2,308,728,270
15м,1.0,6,стандарт,5,3/2,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,25м)",91,8х2,8х2,8х2,9х2,300,657,225
15м,1.0,6,стандарт,4,4/1,ПГС300/20х80х2,87,"ПГС300/20х80х2,5",88,"2ТПС 200х45х1,5 (шаг 1,5м)",91,9х2,10х2,8х2,10х2,300,572,264
15м,1.0,6,стандарт,4,4/3,"ПГС245/20х80х2,5",89,ПГС300/20х80х3,84,"2ТПС 200х45х1,5 (шаг 1,5м)",91,8х2,9х2,9х2,10х2,284,657,260
15м,1.0,6,стандарт,4,5/1,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,25м)",90,9х2,10х2,8х2,10х2,300,682,264
15м,1.0,6,стандарт,4,5/3,ПГС300/20х80х3,75,ПГС300/20х80х3,91,"2ТПС 200х45х1,5 (шаг 1,25м)",91,9х2,11х2,8х2,10х2,300,728,268
15м,1.0,6,стандарт,6,2/2,"ПГС300/20х80х2,5",85,"ПГС300/20х80х2,5",84,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,10х2,9х2,9х2,300,556,268
15м,0.8,6,стандарт,6,1/3,"ПГС300/20х80х2,5",74,ПГС300/20х80х2,70,"2ТПС 195х45х1,5 (шаг 1,875м)",79,6х2,7х2,8х2,6х2,212,562,200
15м,0.8,6,стандарт,6,2/3,"ПГС300/20х80х2,5",79,"ПГС300/20х80х2,5",71,"2ТПС 200х45х2 (шаг 1,875м)",86,7х2,8х2,8х2,8х2,244,621,229
15м,0.8,6,стандарт,6,2/4,ПГС300/20х80х3,83,"ПГС300/20х80х2,5",74,"2ТПС 200х45х2 (шаг 1,875м)",86,7х2,9х2,8х2,7х2,252,667,205
15м,0.8,6,стандарт,6,3/1,"ПГС245/20х80х2,5",74,"ПГС300/20х80х2,5",88,"2ТПС 200х65х1,5 (шаг 1,25м)",89,9х2,9х2,7х2,9х2,284,553,238
15м,0.8,6,стандарт,6,3/2,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,78,"2ТПС 200х65х1,5 (шаг 1,25м)",89,8х2,9х2,8х2,9х2,276,596,239
15м,0.8,6,стандарт,6,4/1,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,78,"2ТПС 200х65х2 (шаг 1,5м)",90,9х2,10х2,8х2,10х2,292,682,264
15м,0.8,6,стандарт,5,4/3,"ПГС300/20х80х2,5",77,ПГС300/20х80х3,78,"2ТПС 200х45х2 (шаг 1,5м)",80,8х2,9х2,8х2,9х2,300,728,239
15м,0.8,6,стандарт,5,5/1,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,25м)",83,9х2,10х2,8х2,10х2,300,682,264
15м,0.8,6,стандарт,5,5/3,ПГС300/20х80х3,73,ПГС300/20х80х3,91,"2ТПС 200х45х2 (шаг 1,25м)",84,9х2,11х2,8х2,10х2,292,728,268
15м,0.8,6,стандарт,6,2/2,"ПГС245/20х80х2,5",84,"ПГС245/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,8х2,8х2,300,556,268
18м,1.0,3.6,стандарт,6,1/3,"ПГС245/20х80х2,5",83,"ПГС245/20х80х2,5",85,"2ТПС 200х45х1,5 (шаг 1,8м)",89,8х2,8х2,8х2,7х2,236,544,215
18м,1.0,3.6,стандарт,6,2/3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,9х2,8х2,10х2,292,656,252
18м,1.0,3.6,стандарт,6,2/4,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,9х2,9х2,10х2,308,670,260
18м,1.0,3.6,стандарт,5,3/1,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",86,10х2,11х2,8х2,11х2,332,670,280
18м,1.0,3.6,стандарт,5,3/2,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,125м)",86,10х2,11х2,8х2,11х2,332,670,280
18м,1.0,3.6,стандарт,4,4/1,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,88,"2ТПС 200х45х2 (шаг 1,8м)",89,10х2,11х2,8х2,11х2,332,670,280
18м,1.0,3.6,стандарт,3.5,4/3,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,85,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,7х2,10х2,300,656,254
18м,1.0,3.6,стандарт,3,5/1,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,84,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,7х2,10х2,300,656,264
18м,1.0,3.6,стандарт,3,5/3,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,670,270
18м,1.0,3.6,стандарт,6,2/2,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,10х2,300,556,268
18м,0.8,3.6,стандарт,6,1/3,ПГС300/20х80х2,78,ПГС245/20х80х2,83,"2ТПС 200х45х1,5 (шаг 2,25м)",89,8х2,8х2,8х2,7х2,252,469,225
18м,0.8,3.6,стандарт,6,2/3,ПГС300/20х80х2,85,"ПГС300/20х80х2,5",80,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,8х2,10х2,300,570,254
18м,0.8,3.6,стандарт,6,2/4,"ПГС245/20х80х2,5",72,"ПГС300/20х80х2,5",86,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,7х2,8х2,276,583,234
18м,0.8,3.6,стандарт,6,3/1,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,84,"2ТПС 200х65х2 (шаг 1,8м)",80,10х2,10х2,8х2,10х2,316,670,270
18м,0.8,3.6,стандарт,6,3/2,"ПГС300/20х80х2,5",67,ПГС300/20х80х3,86,"2ТПС 200х65х2 (шаг 1,8м)",80,10х2,10х2,8х2,10х2,316,670,270
18м,0.8,3.6,стандарт,5,4/1,"ПГС300/20х80х2,5",79,ПГС300/20х80х3,88,"2ТПС 200х65х2 (шаг 1,8м)",85,10х2,11х2,8х2,11х2,332,670,280
18м,0.8,3.6,стандарт,4.5,4/3,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,8х2,10х2,308,656,264
18м,0.8,3.6,стандарт,4,5/1,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",83,10х2,10х2,7х2,11х2,308,656,268
18м,0.8,3.6,стандарт,4,5/3,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",88,10х2,11х2,8х2,11х2,332,670,280
18м,0.8,3.6,стандарт,6,2/2,ПГС245/20х80х2,79,"ПГС300/20х80х2,5",82,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,10х2,300,556,268
18м,1.0,4.8,стандарт,6,1/3,"ПГС300/20х80х2,5",78,"ПГС300/20х80х2,5",76,"2ТПС 200х45х1,5 (шаг 1,8м)",89,7х2,8х2,8х2,7х2,252,648,219
18м,1.0,4.8,стандарт,6,2/3,ПГС300/20х80х3,80,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,125м)",89,9х2,10х2,9х2,9х2,308,757,260
18м,1.0,4.8,стандарт,5,2/4,"ПГС300/20х80х2,5",85,ПГС300/20х80х3,79,"2ТПС 200х45х2 (шаг 2,25м)",85,8х2,9х2,9х2,9х2,292,721,245
18м,1.0,4.8,стандарт,4.5,3/1,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,87,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,9х2,7х2,10х2,292,702,258
18м,1.0,4.8,стандарт,4.5,3/2,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,9х2,7х2,10х2,292,702,258
18м,1.0,4.8,стандарт,4,4/1,ПГС300/20х80х3,64,ПГС300/20х80х3,90,"2ТПС 200х45х2 (шаг 1,8м)",89,10х2,11х2,7х2,10х2,316,757,268
18м,1.0,4.8,стандарт,3.5,4/3,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,8х2,10х2,308,702,260
18м,1.0,4.8,стандарт,3,5/1,"ПГС245/20х80х2,5",78,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,9х2,7х2,10х2,292,702,244
18м,1.0,4.8,стандарт,3,5/3,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,721,270
18м,1.0,4.8,стандарт,6,2/2,"ПГС300/20х80х2,5",80,ПГС300/20х80х3,86,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,9х2,10х2,300,556,268
18м,0.8,4.8,стандарт,6,1/3,"ПГС245/20х80х2,5",75,ПГС300/20х80х2,83,"2ТПС 200х45х1,5 (шаг 2,25м)",89,8х2,8х2,7х2,6х2,244,558,209
18м,0.8,4.8,стандарт,6,2/3,"ПГС245/20х80х2,5",83,"ПГС300/20х80х2,5",89,"2ТПС 200х65х1,5 (шаг 1,8м)",88,9х2,9х2,8х2,9х2,284,629,244
18м,0.8,4.8,стандарт,6,2/4,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,76,"2ТПС 200х65х1,5 (шаг 1,8м)",88,8х2,8х2,9х2,9х2,284,721,241
18м,0.8,4.8,стандарт,5,3/1,"ПГС245/20х80х2,5",66,ПГС300/20х80х3,78,"2ТПС 200х45х1,5 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,721,250
18м,0.8,4.8,стандарт,5,3/2,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,80,"2ТПС 200х45х2 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,702,250
18м,0.8,4.8,стандарт,4.5,4/1,"ПГС300/20х80х2,5",65,ПГС300/20х80х3,83,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,7х2,10х2,308,721,264
18м,0.8,4.8,стандарт,4,4/3,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,82,"2ТПС 200х65х1,5 (шаг 1,8м)",85,9х2,9х2,7х2,10х2,268,702,252
18м,0.8,4.8,стандарт,4,5/1,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",84,10х2,11х2,7х2,11х2,324,721,274
18м,0.8,4.8,стандарт,3.5,5/3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",88,10х2,9х2,7х2,10х2,292,702,254
18м,0.8,4.8,стандарт,6,2/2,"ПГС245/20х80х2,5",73,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,9х2,8х2,9х2,300,556,268
18м,1.0,6,стандарт,6,1/3,ПГС300/20х80х3,91,ПГС300/20х80х3,70,"2ТПС 200х45х1,5 (шаг 1,8м)",89,6х2,7х2,9х2,7х2,244,823,206
18м,1.0,6,стандарт,5,2/3,ПГС300/20х80х3,86,ПГС300/20х80х3,80,"2ТПС 200х45х2 (шаг 2,25м)",85,8х2,9х2,9х2,8х2,284,823,243
18м,1.0,6,стандарт,4.5,2/4,ПГС300/20х80х3,85,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,8м)",80,7х2,8х2,9х2,8х2,268,823,235
18м,1.0,6,стандарт,4.5,3/1,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,10х2,8х2,10х2,316,777,270
18м,1.0,6,стандарт,4.5,3/2,"ПГС300/20х80х2,5",81,ПГС300/20х80х3,89,"2ТПС 200х45х2 (шаг 1,8м)",82,10х2,10х2,9х2,10х2,324,777,276
18м,1.0,6,стандарт,3.5,4/1,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,9х2,7х2,10х2,292,752,258
18м,1.0,6,стандарт,3.5,4/3,"ПГС300/20х80х2,5",84,ПГС300/20х80х3,90,"2ТПС 200х45х1,5 (шаг 1,8м)",83,10х2,10х2,9х2,10х2,324,777,276
18м,1.0,6,стандарт,3,5/1,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,7х2,10х2,308,777,264
18м,1.0,6,стандарт,3,5/3,ПГС300/20х80х3,70,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 1,8м)",78,10х2,10х2,8х2,10х2,316,823,270
18м,1.0,6,стандарт,5,2/2,"ПГС300/20х80х2,5",82,ПГС300/20х80х3,77,"2ТПС 200х65х1,5 (шаг 1,25м)",85,8х2,9х2,9х2,9х2,300,556,268
18м,0.8,6,стандарт,6,1/3,ПГС300/20х80х3,79,"ПГС245/20х80х2,5",79,"2ТПС 200х45х1,5 (шаг 2,25м)",89,7х2,7х2,8х2,6х2,228,711,209
18м,0.8,6,стандарт,6,2/3,ПГС300/20х80х3,80,ПГС300/20х80х3,76,"2ТПС 200х65х1,5 (шаг 1,8м)",88,8х2,9х2,8х2,8х2,276,823,237
18м,0.8,6,стандарт,5,2/4,ПГС300/20х80х3,81,"ПГС300/20х80х2,5",86,"2ТПС 195х45х1,5 (шаг 1,8м)",80,8х2,9х2,8х2,7х2,268,750,235
18м,0.8,6,стандарт,5,3/1,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,81,"2ТПС 200х45х1,5 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,752,250
18м,0.8,6,стандарт,5,3/2,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,83,"2ТПС 200х45х2 (шаг 1,8м)",80,9х2,9х2,8х2,10х2,284,752,250
18м,0.8,6,стандарт,4.5,4/1,"ПГС300/20х80х2,5",68,ПГС300/20х80х3,86,"2ТПС 200х45х2 (шаг 1,8м)",85,10х2,10х2,7х2,10х2,308,777,264
18м,0.8,6,стандарт,4,4/3,"ПГС245/20х80х2,5",85,ПГС300/20х80х3,87,"2ТПС 200х65х1,5 (шаг 1,8м)",85,9х2,9х2,8х2,10х2,292,752,258
18м,0.8,6,стандарт,4,5/1,"ПГС300/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 200х45х1,5 (шаг 1,5м)",84,10х2,10х2,8х2,11х2,324,777,260
18м,0.8,6,стандарт,3.5,5/3,"ПГС300/20х80х2,5",72,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",88,9х2,10х2,8х2,10х2,308,777,264
18м,0.8,6,стандарт,6,2/2,"ПГС300/20х80х2,5",80,"ПГС300/20х80х2,5",85,"2ТПС 200х65х1,5 (шаг 1,25м)",85,9х2,10х2,9х2,9х2,300,556,268
21м,1.0,3.6,стандарт,6,1/3,"ПГС245/20х80х2,5",74,"ПГС300/20х80х2,5",81,"2ТПС 195х45х1,5 (шаг 1,75м)",83,9х2,9х2,8х2,9х2,292,656,274
21м,1.0,3.6,стандарт,5,2/3,"ПГС245/20х80х2,5",82,ПГС300/20х80х3,82,"2ТПС 195х45х1,5 (шаг 2,1м)",70,10х2,9х2,9х2,10х2,316,741,296
21м,1.0,3.6,стандарт,5,2/4,"ПГС245/20х80х2,5",83,ПГС300/20х80х3,90,"2ТПС 195х45х1,5 (шаг 2,1м)",70,10х2,10х2,9х2,10х2,324,741,306
21м,1.0,3.6,стандарт,4,3/1,"ПГС245/20х80х2,5",74,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,75м)",84,11х2,10х2,8х2,11х2,332,741,309
21м,1.0,3.6,стандарт,4,3/2,"ПГС245/20х80х2,5",75,ПГС300/20х80х3,89,"2ТПС 195х45х1,5 (шаг 1,75м)",84,10х2,10х2,8х2,11х2,324,741,304
21м,1.0,3.6,стандарт,3,4/1,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,83,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,8х2,11х2,332,741,309
21м,1.0,3.6,стандарт,3,4/3,"ПГС245/20х80х2,5",71,ПГС300/20х80х3,82,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,8х2,11х2,332,741,309
21м,1.0,3.6,стандарт,2.5,5/1,"ПГС245/20х80х2,5",72,ПГС300/20х80х3,84,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,10х2,7х2,11х2,324,741,303
21м,1.0,3.6,стандарт,2.5,5/3,"ПГС245/20х80х2,5",73,ПГС300/20х80х3,85,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,10х2,7х2,10х2,316,741,299
21м,1.0,3.6,стандарт,5,2/2,ПГС300/20х80х2,89,ПГС300/20х80х3,81,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,12х2,300,556,268
21м,0.8,3.6,стандарт,6,1/3,ПГС300/20х80х2,79,ПГС300/20х80х2,86,"2ТПС 195х45х1,5 (шаг 2,1м)",80,9х2,9х2,8х2,8х2,284,560,274
21м,0.8,3.6,стандарт,6,2/3,"ПГС245/20х80х2,5",71,"ПГС300/20х80х2,5",89,"2ТПС 200х45х1,5 (шаг 1,5м)",85,11х2,10х2,8х2,10х2,324,656,305
21м,0.8,3.6,стандарт,6,2/4,"ПГС245/20х80х2,5",80,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,5м)",85,10х2,9х2,9х2,10х2,316,741,296
21м,0.8,3.6,стандарт,5,3/1,"ПГС245/20х80х2,5",74,ПГС300/20х80х3,87,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,10х2,8х2,10х2,324,741,305
21м,0.8,3.6,стандарт,5,3/2,"ПГС245/20х80х2,5",88,ПГС300/20х80х3,88,"2ТПС 200х45х1,5 (шаг 1,5м)",86,11х2,11х2,9х2,12х2,356,741,325
21м,0.8,3.6,стандарт,4,4/1,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,88,"2ТПС 195х45х1,5 (шаг 1,75м)",81,11х2,10х2,8х2,11х2,332,741,303
21м,0.8,3.6,стандарт,3.5,4/3,"ПГС245/20х80х2,5",67,ПГС300/20х80х3,79,"2ТПС 195х45х1,5 (шаг 2,1м)",79,10х2,9х2,8х2,10х2,308,741,290
21м,0.8,3.6,стандарт,3,5/1,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,5м)",50,10х2,10х2,7х2,11х2,316,741,298
21м,0.8,3.6,стандарт,3,5/3,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,81,"2ТПС 195х45х1,5 (шаг 1,5м)",50,10х2,9х2,7х2,11х2,308,741,294
21м,0.8,3.6,стандарт,6,2/2,ПГС300/20х80х2,86,ПГС300/20х80х3,78,"2ТПС 200х65х1,5 (шаг 1,25м)",85,10х2,10х2,9х2,11х2,300,556,268
21м,1.0,4.8,стандарт,6,1/3,"ПГС300/20х80х2,5",85,"ПГС300/20х80х2,5",83,"2ТПС 195х45х1,5 (шаг 1,75м)",83,9х2,9х2,9х2,8х2,292,724,280
21м,1.0,4.8,стандарт,5,2/3,"ПГС245/20х80х2,5",86,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 2,1м)",70,10х2,9х2,10х2,10х2,324,787,310
21м,1.0,4.8,стандарт,4.5,2/4,"ПГС300/20х80х2,5",85,ПГС300/20х80х3,82,"2ТПС 195х45х1,5 (шаг 1,75м)",76,9х2,9х2,10х2,9х2,308,809,284
21м,1.0,4.8,стандарт,4,3/1,"ПГС300/20х80х2,5",69,ПГС300/20х80х3,87,"2ТПС 195х45х1,5 (шаг 1,75м)",84,11х2,11х2,8х2,11х2,340,809,315
21м,1.0,4.8,стандарт,4,3/2,"ПГС300/20х80х2,5",71,ПГС300/20х80х3,89,"2ТПС 195х45х1,5 (шаг 1,75м)",84,11х2,11х2,9х2,11х2,348,809,321
21м,1.0,4.8,стандарт,3,4/1,"ПГС245/20х80х2,5",76,ПГС300/20х80х3,86,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,8х2,11х2,332,787,309
21м,1.0,4.8,стандарт,3,4/3,"ПГС300/20х80х2,5",70,ПГС300/20х80х3,86,"2ТПС 195х45х1,5 (шаг 1,75м)",48,11х2,10х2,9х2,11х2,340,809,315
21м,1.0,4.8,стандарт,2.5,5/1,"ПГС245/20х80х2,5",69,ПГС300/20х80х3,86,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,10х2,7х2,10х2,316,787,299
21м,1.0,4.8,стандарт,2.5,5/3,"ПГС245/20х80х2,5",70,ПГС300/20х80х3,88,"2ТПС 195х45х1,5 (шаг 1,5м)",44,11х2,9х2,7х2,10х2,308,787,279
